Removed Pin From Net: NetName=GND Pin=C1-1
Removed Pin From Net: NetName=GND Pin=C2-1
Removed Pin From Net: NetName=GND Pin=C3-1
Removed Pin From Net: NetName=GND Pin=D7-1
Removed Pin From Net: NetName=GND Pin=D7-2
Removed Pin From Net: NetName=NetJ1_2 Pin=J1-2
Removed Pin From Net: NetName=NetJ1_2 Pin=J1-20
Removed Pin From Net: NetName=GND Pin=J3-9
Removed Pin From Net: NetName=GND Pin=U1-4
Removed Pin From Net: NetName=GND Pin=U6-3
Removed Member From Class: ClassName=PowerSection Member=D13
Removed Member From Class: ClassName=PowerSection Member=D14
Removed Member From Class: ClassName=Dosimeter Member=R15
Removed Member From Class: ClassName=TemperatureMonitor Member=U2
Removed Member From Class: ClassName=TemperatureMonitor Member=U6
Change Component Footprint: Designator=U2 Old Footprint=ADI-RW-16_L New Footprint=FP-R-8-IPC_C
Change Component Footprint: Designator=R27 Old Footprint=FP-MCT0603-MFG New Footprint=RESC1005X40N
Change Component Footprint: Designator=U6 Old Footprint=LP0003A New Footprint=FP-R-14-IPC_C
Change Component Footprint: Designator=D9 Old Footprint=VISH-SOD-323-2_V New Footprint=RF05VYM1SFHTR
Change Component Comment : Designator=U2 Old Comment=AD713JRZ-16 New Comment=AD620ARZ-REEL7
Change Component Comment : Designator=U6 Old Comment=LM35CZ/NOPB New Comment=ADA4522-4ARZ-RL
Change Component Comment : Designator=R27 Old Comment=MCT06030C2400FP500 New Comment=0402WGF1000TCE
Change Managed Component Library Link : Designator=U2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=28638A47-840E-4775-BDB8-AFC5A9E3C880 New ItemGUID=56E43541-BF74-434D-B256-9C7BBC72972A Old RevisionGUID=440750CF-316B-425F-9199-3365FD87883E New RevisionGUID=53AD528E-DD1A-4914-BCAD-923E52132B74
Change Managed Component Library Link : Designator=U6 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=7BF51AB9-6300-4734-A1DB-7B0B2F8DB09A New ItemGUID=B4F8013A-5843-4F83-8805-56C333ACD7C6 Old RevisionGUID=B2F5D09B-96B6-49F1-89B5-9F8EAD38EA49 New RevisionGUID=04A22B94-9158-4F6D-8BA1-6D8D61689266
Change Managed Component Library Link : Designator=R27 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=3458345C-EDE1-4718-8118-DC395A4F29CA New ItemGUID= Old RevisionGUID=B17701B1-3650-4C62-B2D5-B9317870B428 New RevisionGUID=
Change component parameters: Designator = "R27" ("R27"); Footprint = "FP-MCT0603-MFG"; UniqueID = "\BFAYDFFW\OHRYJZFJ" ("\BFAYDFFW\OHRYJZFJ")
Add Pin To Net: Unknown Pin: Pin R32-1
Added Pin To Net: NetName=GND Pin=R33-1
Added Pin To Net: NetName=NetC7_2 Pin=R33-3
Added Pin To Net: NetName=NetQ6_3 Pin=R36-1
Added Pin To Net: NetName=NetQ7_4 Pin=R37-1
Added Pin To Net: NetName=GND Pin=R39-1
Added Pin To Net: NetName=NetJ1_5 Pin=R40-1
Added Pin To Net: NetName=NetJ1_2 Pin=R40-2
Added Pin To Net: NetName=NetJ1_3 Pin=R45-1
Added Pin To Net: NetName=NetJ1_1 Pin=R45-2
Added Pin To Net: NetName=NetJ1_3 Pin=R46-1
Added Pin To Net: NetName=NetJ1_2 Pin=R46-2
Added Pin To Net: NetName=GND Pin=R48-2
Added Pin To Net: NetName=NetJ1_3 Pin=R49-1
Added Pin To Net: NetName=NetC2_2 Pin=R50-1
Added Pin To Net: NetName=NetJ1_3 Pin=R51-1
Added Pin To Net: NetName=GND Pin=R53-1
Added Pin To Net: NetName=GND Pin=R54-1
Added Pin To Net: NetName=GND Pin=U1-3
Added Pin To Net: NetName=NetC2_2 Pin=U6-4
Added Pin To Net: NetName=NetR14_2 Pin=U6-8
Added Pin To Net: NetName=NetJ1_3 Pin=U6-9
Added Pin To Net: NetName=NetQ2_3 Pin=U6-11
Added Pin To Net: NetName=NetJ1_5 Pin=U6-13
Added Pin To Net: NetName=NetR13_1 Pin=U6-14
Added Pin To Net: NetName=GND Pin=U7-5
Added Pin To Net: NetName=GND Pin=U7-11
Added Pin To Net: NetName=NetQ2_3 Pin=U7-14
Added Pin To Net: NetName=NetQ2_3 Pin=U7-15
Added Pin To Net: NetName=NetQ2_3 Pin=U7-16
Added Pin To Net: NetName=NetC7_2 Pin=U7-20
Added Pin To Net: NetName=NetC7_2 Pin=U7-21
Added Pin To Net: NetName=NetC7_2 Pin=U7-22
Added Pin To Net: NetName=NetC3_2 Pin=U8-3
Added Pin To Net: NetName=GND Pin=U8-4
Added Pin To Net: NetName=GND Pin=U8-5
Added Pin To Net: NetName=GND Pin=U8-7
Added Pin To Net: NetName=GND Pin=U8-10
Added Pin To Net: NetName=NetC2_2 Pin=U8-12
Added Pin To Net: NetName=NetC2_2 Pin=U8-13
Added Pin To Net: NetName=GND Pin=U8-15
Added Pin To Net: NetName=NetC7_2 Pin=U9-4
Added Pin To Net: NetName=NetJ1_25 Pin=U9-6
Added Pin To Net: NetName=NetJ1_25 Pin=U9-7
Added Pin To Net: NetName=NetJ1_26 Pin=U9-8
Added Pin To Net: NetName=NetR27_1 Pin=U9-10
Added Pin To Net: NetName=NetQ2_3 Pin=U9-11
Added Pin To Net: NetName=NetJ1_26 Pin=U9-12
Change Net Name : Old Net Name=NetC2_2 New Net Name=V+
Change Net Name : Old Net Name=NetJ1_2 New Net Name=NetJ1_10
Change Net Name : Old Net Name=NetQ2_3 New Net Name=V-
Add Net: Net with name "GND" already exists
Added Pin To Net: NetName=NetC1_1 Pin=C1-1
Added Pin To Net: NetName=NetC1_1 Pin=C2-1
Added Pin To Net: NetName=NetC1_1 Pin=C3-1
Added Pin To Net: NetName=NetC1_1 Pin=D7-1
Added Pin To Net: NetName=NetC1_1 Pin=D7-2
Added Pin To Net: NetName=NetC1_1 Pin=J3-9
Added Pin To Net: NetName=NetC1_1 Pin=U1-4
Added Net: Name=NetC1_1
Added Pin To Net: NetName=NetC14_1 Pin=C14-1
Added Pin To Net: NetName=NetC14_1 Pin=R33-2
Added Pin To Net: NetName=NetC14_1 Pin=U9-9
Added Net: Name=NetC14_1
Added Pin To Net: NetName=NetC17_2 Pin=C17-2
Added Pin To Net: NetName=NetC17_2 Pin=R28-2
Added Pin To Net: NetName=NetC17_2 Pin=U7-18
Added Net: Name=NetC17_2
Added Pin To Net: NetName=NetC20_2 Pin=C20-2
Added Pin To Net: NetName=NetC20_2 Pin=R29-2
Added Pin To Net: NetName=NetC20_2 Pin=U7-12
Added Net: Name=NetC20_2
Added Pin To Net: NetName=NetD21_1 Pin=D21-1
Added Pin To Net: NetName=NetD21_1 Pin=LED2-2
Added Net: Name=NetD21_1
Added Pin To Net: NetName=NetD21_2 Pin=D21-2
Added Pin To Net: NetName=NetD21_2 Pin=R34-2
Added Net: Name=NetD21_2
Added Pin To Net: NetName=NetD22_1 Pin=D22-1
Added Pin To Net: NetName=NetD22_1 Pin=R35-2
Added Net: Name=NetD22_1
Added Pin To Net: NetName=NetD22_2 Pin=D22-2
Added Pin To Net: NetName=NetD22_2 Pin=LED1-1
Added Net: Name=NetD22_2
Added Pin To Net: NetName=NetD23_2 Pin=D23-2
Added Pin To Net: NetName=NetD23_2 Pin=D25-1
Added Pin To Net: NetName=NetD23_2 Pin=J3-8
Added Pin To Net: NetName=NetD23_2 Pin=R43-2
Added Net: Name=NetD23_2
Added Pin To Net: NetName=NetD24_2 Pin=D24-2
Added Pin To Net: NetName=NetD24_2 Pin=D26-1
Added Pin To Net: NetName=NetD24_2 Pin=J3-4
Added Pin To Net: NetName=NetD24_2 Pin=R41-2
Added Net: Name=NetD24_2
Added Pin To Net: NetName=NetJ1_20 Pin=J1-20
Added Pin To Net: NetName=NetJ1_20 Pin=R50-2
Added Pin To Net: NetName=NetJ1_20 Pin=U8-1
Added Pin To Net: NetName=NetJ1_20 Pin=U8-16
Added Net: Name=NetJ1_20
Added Pin To Net: NetName=NetJ1_21 Pin=J1-21
Added Pin To Net: NetName=NetJ1_21 Pin=R53-2
Added Pin To Net: NetName=NetJ1_21 Pin=U8-9
Added Net: Name=NetJ1_21
Added Pin To Net: NetName=NetJ1_22 Pin=J1-22
Added Pin To Net: NetName=NetJ1_22 Pin=R54-2
Added Pin To Net: NetName=NetJ1_22 Pin=U8-8
Added Net: Name=NetJ1_22
Added Pin To Net: NetName=NetR30_1 Pin=R30-1
Added Pin To Net: NetName=NetR30_1 Pin=U9-3
Added Net: Name=NetR30_1
Added Pin To Net: NetName=NetR31_1 Pin=R31-1
Added Pin To Net: NetName=NetR31_1 Pin=U9-1
Added Pin To Net: NetName=NetR31_1 Pin=U9-2
Added Pin To Net: NetName=NetR31_1 Pin=U9-5
Added Net: Name=NetR31_1
Added Pin To Net: NetName=NetR34_1 Pin=R34-1
Added Pin To Net: NetName=NetR34_1 Pin=R35-1
Added Pin To Net: NetName=NetR34_1 Pin=U9-13
Added Pin To Net: NetName=NetR34_1 Pin=U9-14
Added Net: Name=NetR34_1
Added Pin To Net: NetName=NetR36_2 Pin=R36-2
Added Pin To Net: NetName=NetR36_2 Pin=R39-2
Added Pin To Net: NetName=NetR36_2 Pin=U6-3
Added Net: Name=NetR36_2
Added Pin To Net: NetName=NetR37_2 Pin=R37-2
Added Pin To Net: NetName=NetR37_2 Pin=R38-1
Added Pin To Net: NetName=NetR37_2 Pin=U6-2
Added Net: Name=NetR37_2
Added Pin To Net: NetName=NetR38_2 Pin=R38-2
Added Pin To Net: NetName=NetR38_2 Pin=U6-1
Added Pin To Net: NetName=NetR38_2 Pin=U6-12
Added Net: Name=NetR38_2
Added Pin To Net: NetName=NetR41_1 Pin=R41-1
Added Pin To Net: NetName=NetR41_1 Pin=R42-2
Added Net: Name=NetR41_1
Added Pin To Net: NetName=NetR42_1 Pin=R42-1
Added Pin To Net: NetName=NetR42_1 Pin=R48-1
Added Pin To Net: NetName=NetR42_1 Pin=U6-5
Added Net: Name=NetR42_1
Added Pin To Net: NetName=NetR43_1 Pin=R43-1
Added Pin To Net: NetName=NetR43_1 Pin=R44-2
Added Net: Name=NetR43_1
Added Pin To Net: NetName=NetR44_1 Pin=R44-1
Added Pin To Net: NetName=NetR44_1 Pin=R47-2
Added Pin To Net: NetName=NetR44_1 Pin=U6-6
Added Net: Name=NetR44_1
Added Pin To Net: NetName=NetR47_1 Pin=R47-1
Added Pin To Net: NetName=NetR47_1 Pin=U6-7
Added Pin To Net: NetName=NetR47_1 Pin=U6-10
Added Net: Name=NetR47_1
Added Pin To Net: NetName=NetR49_2 Pin=R49-2
Added Pin To Net: NetName=NetR49_2 Pin=R52-1
Added Net: Name=NetR49_2
Added Pin To Net: NetName=NetR51_2 Pin=R51-2
Added Pin To Net: NetName=NetR51_2 Pin=U8-11
Added Net: Name=NetR51_2
Added Pin To Net: NetName=NetR52_2 Pin=R52-2
Added Pin To Net: NetName=NetR52_2 Pin=U8-6
Added Net: Name=NetR52_2
Added Pin To Net: NetName=Sense+ Pin=U8-2
Added Net: Name=Sense+
Added Pin To Net: NetName=Sense- Pin=U8-14
Added Net: Name=Sense-
Add Net: Net with name "V+" already exists
Add Net: Net with name "V-" already exists
Added Class: Name=Radiation_Enhanced_WB
Added Class: Name=Temperature_Enhanced_WB
Added Member To Class: ClassName=TemperatureMonitor Member=Component C14 CC0603KRX7R7BB105
Added Member To Class: ClassName=TemperatureMonitor Member=Component C15 CC0603KRX7R7BB105
Added Member To Class: ClassName=TemperatureMonitor Member=Component C16 CC0603KRX7R7BB105
Added Member To Class: ClassName=AuxReg Member=Component C17 GRM31CR71E106KA12L
Added Member To Class: ClassName=AuxReg Member=Component C18 GRM31CR71E106KA12L
Added Member To Class: ClassName=AuxReg Member=Component C19 GRM31CR71E106KA12L
Added Member To Class: ClassName=AuxReg Member=Component C20 GRM31CR71E106KA12L
Added Member To Class: ClassName=VoltageReference Member=Component D10 RF05VYM1SFHTR
Added Member To Class: ClassName=TemperatureMonitor Member=Component D21 RF05VYM1SFHTR
Added Member To Class: ClassName=TemperatureMonitor Member=Component D22 RF05VYM1SFHTR
Added Member To Class: ClassName=TemperatureMonitor Member=Component LED1 SMLD12EN1WT86C
Added Member To Class: ClassName=TemperatureMonitor Member=Component LED2 SML-P11DTT86R
Added Member To Class: ClassName=AuxReg Member=Component R28 TNPW0603120KBEEA
Added Member To Class: ClassName=AuxReg Member=Component R29 TNPW0603120KBEEA
Added Member To Class: ClassName=TemperatureMonitor Member=Component R30 MCT06030C1001FP500
Added Member To Class: ClassName=TemperatureMonitor Member=Component R31 TNPW060310K0BEEA
Add Class Member: Failed to add class member : Component R32 PTS1206M2B1K00P100
Added Member To Class: ClassName=TemperatureMonitor Member=Component R33 3214W-1-502E
Added Member To Class: ClassName=TemperatureMonitor Member=Component R34 MCT06030C1001FP500
Added Member To Class: ClassName=TemperatureMonitor Member=Component R35 MCT06030C1001FP500
Added Member To Class: ClassName=TemperatureMonitor Member=Component U9 ADA4522-4ARZ-RL
